@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

0.00259364,0.00363075,0.000766404,6,1.11531322952,0.0224719101124,2.52213e-05,0.000791128,0.000148109,0
0.00104946,0.0023757,0.000497837,15,2.7143204985,0.0887573964497,2.65747e-05,0.000834281,0.000156216,0
0.00207999,0.00308869,0.00456552,15,2.71567383688,0.0622406639004,2.62825e-05,0.000825047,0.000217478,1
0.00300393,0.00392848,0.000838169,12,2.1883284121,0.0428571428571,2.59841e-05,0.000815485,0.000152687,0
0.00247271,0.00415786,0.000938022,39,7.30065506542,0.156626506024,3.14362e-05,0.000989562,0.000185401,0
0.00242924,0.00344563,0.00344883,18,3.29394703749,0.0737704918033,2.67377e-05,0.000839582,0.000221587,1
0.000688239,0.0017852,0.000377697,26,4.72644683837,0.206349206349,2.81754e-05,0.000885337,0.00016581,0
0.0043816,0.00502473,0.0100463,19,3.43284687849,0.0477386934673,2.66848e-05,0.000837907,0.000253553,0
0.0017111,0.00290343,0.0028626,25,4.68031605992,0.132978723404,2.82416e-05,0.000887665,0.000234944,0
0.000897197,0.00190876,0.00179212,23,4.25444718166,0.166666666667,2.75886e-05,0.000866775,0.000237409,1
0.0223038,0.00571247,0.000779623,0,0,0.0,2.43771e-05,0.000764163,0.000143042,0
0.00305494,0.00432632,0.000998187,9,1.60120991263,0.027027027027,2.54669e-05,0.000798977,0.000149585,0
0.00198432,0.00329962,0.000757595,6,1.09400128406,0.0221402214022,2.51499e-05,0.000788835,0.00014768,0
0.00212724,0.00330566,0.0027792,23,4.27967665231,0.11004784689,2.79103e-05,0.000877066,0.000232115,1
0.00169328,0.00279972,0.00368138,29,5.36930576901,0.155080213904,2.8563e-05,0.000897944,0.000270074,1
0.00550062,0.00679083,0.00157223,44,8.44245315924,0.100227790433,3.49264e-05,0.00110132,0.000206409,0
0.00321398,0.00495918,0.00113792,42,7.79810744935,0.141891891892,3.12797e-05,0.000984552,0.000184459,0
0.00634706,0.00446911,0.000829667,3,0.552109079058,0.00717703349282,2.4842e-05,0.000778996,0.000145829,0
0.00703902,0.00786662,0.00189801,45,8.27217904317,0.079086115993,3.12149e-05,0.000982513,0.000184636,0
0.0038116,0.00448931,0.00131816,8,1.41684158047,0.0213333333333,2.52531e-05,0.000792145,0.000148735,0
0.00174409,0.00322299,0.000697077,29,5.43148037593,0.147208121827,2.9559e-05,0.000929595,0.000174128,0
0.00477528,0.00621695,0.00140621,45,8.60947149684,0.116883116883,3.22652e-05,0.00101604,0.000190377,0
0.00180007,0.00296125,0.00180535,2,0.371122413136,0.00862068965517,2.46024e-05,0.000771372,0.000145181,1
0.00229071,0.00342212,0.000789411,20,3.57672831151,0.0769230769231,2.69678e-05,0.000846825,0.000158575,0
0.00817298,0.0053984,0.0173653,4,0.712505116605,0.00664451827243,2.4783e-05,0.000777163,0.000227728,0
0.00615366,0.00493671,0.00110229,5,0.884163446667,0.0104821802935,2.49504e-05,0.000782452,0.00014648,0
0.00409314,0.00549779,0.00125298,41,7.83592451213,0.118497109827,3.14028e-05,0.000988506,0.000185203,0
0.00289003,0.00387383,0.00491628,26,4.82944853273,0.0988593155894,2.83063e-05,0.000889727,0.000267798,1
0.00159072,0.00274311,0.0030017,26,4.81612576955,0.145251396648,2.81843e-05,0.000885831,0.000266619,1
0.00153836,0.00250772,0.00385469,7,1.22176176689,0.035,2.49212e-05,0.000781592,0.00022886,1
0.00330944,0.00494809,0.00114287,40,7.50213734255,0.12987012987,3.32885e-05,0.00104893,0.000196564,0
0.00217167,0.00345908,0.000780439,19,3.40514049002,0.0763052208835,2.68666e-05,0.000843571,0.000157963,0
0.00177699,0.00341379,0.000736612,35,6.56569045312,0.183246073298,3.08424e-05,0.000970543,0.000181824,0
0.00197487,0.00349162,0.000758927,27,4.99079275403,0.123287671233,2.87158e-05,0.000902629,0.00016906,0
0.00161944,0.00319919,0.000690301,28,5.32697101148,0.148148148148,2.99587e-05,0.000942369,0.000176528,0
0.00303103,0.0045708,0.00112036,36,6.76455774043,0.129496402878,3.10479e-05,0.000977123,0.000183491,0
0.00366758,0.00441648,0.00536911,27,5.035170266,0.0894039735099,2.84991e-05,0.000895899,0.000269462,1
0.0055079,0.00551877,0.00650643,29,5.40494716553,0.0714285714286,2.87431e-05,0.000903699,0.000271808,1
0.00172168,0.00323729,0.000712258,40,7.34127762146,0.21978021978,3.0312e-05,0.000953599,0.000178641,0
0.00356744,0.00523846,0.00119321,38,7.18650376179,0.116564417178,3.16065e-05,0.000994985,0.000186419,0
0.00322055,0.00395567,0.003994,29,5.34793971852,0.108208955224,2.85385e-05,0.00089716,0.000269654,1
0.00495711,0.00536544,0.00122917,22,3.89992436934,0.0517647058824,2.70927e-05,0.000850811,0.000159324,0
