@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

1.20834e-05,1.15035e-05,9.87521e-06,2,0.334329906652,0.00892857142857,1.17188e-05,1.00784e-05,8.50299e-06,0
1.683e-05,1.60622e-05,7.53298e-06,3,0.48685255934,0.0133928571429,1.17533e-05,1.13263e-05,8.58848e-06,0
1.20553e-05,1.07796e-05,3.87211e-06,2,0.315290986083,0.00892857142857,1.17272e-05,1.03662e-05,8.40376e-06,0
1.16826e-05,1.10824e-05,4.16154e-06,2,0.32298631231,0.00892857142857,1.17197e-05,1.00981e-05,8.35485e-06,0
2.97745e-05,5.73651e-05,1.51391e-05,5,0.98777530287,0.0223214285714,1.21482e-05,2.57053e-05,1.12509e-05,0
3.83545e-05,3.4406e-05,1.99444e-05,7,1.08236689794,0.03125,1.18424e-05,1.45359e-05,9.20607e-06,0
0.000851851,0.00144924,0.00042793,63,10.6868258678,0.234200743494,1.5256e-05,0.00053591,9.88144e-05,0
1.84794e-05,1.34606e-05,1.5272e-05,3,0.458665312113,0.0133928571429,1.17137e-05,9.88978e-06,8.34727e-06,0
1.16346e-05,1.21767e-05,4.05015e-06,2,0.344436206697,0.00892857142857,1.17548e-05,1.13708e-05,8.59033e-06,0
1.39269e-05,9.85183e-06,1.65998e-05,2,0.329112575721,0.00892857142857,1.16992e-05,9.37944e-06,8.29597e-06,1
7.44959e-05,8.06998e-05,9.19053e-05,13,2.25864591957,0.0580357142857,1.2191e-05,2.72011e-05,1.28765e-05,1
2.27342e-05,1.87088e-05,1.42383e-05,4,0.600474788464,0.0178571428571,1.17371e-05,1.07288e-05,8.50024e-06,0
1.32328e-05,1.15925e-05,1.50353e-05,2,0.322399209678,0.00892857142857,1.17141e-05,9.90846e-06,8.5221e-06,1
1.17914e-05,1.0874e-05,4.00061e-06,2,0.322600053719,0.00892857142857,1.17155e-05,9.94855e-06,8.32662e-06,0
1.35416e-05,9.79265e-06,5.01387e-05,2,0.315957948885,0.00892857142857,1.16961e-05,9.26214e-06,2.38213e-05,1
1.17433e-05,1.13256e-05,4.05307e-06,2,0.320536660299,0.00892857142857,1.17356e-05,1.06669e-05,8.45935e-06,0
1.92438e-05,1.62634e-05,2.21805e-05,3,0.510438551944,0.0133928571429,1.17519e-05,1.12883e-05,8.91156e-06,1
1.348e-05,9.55332e-06,8.88061e-05,2,0.325839323301,0.00892857142857,1.17145e-05,9.91938e-06,3.55947e-05,1
1.248e-05,1.00879e-05,3.79202e-06,2,0.316670328051,0.00892857142857,1.17082e-05,9.68777e-06,8.27813e-06,0
1.17768e-05,1.09317e-05,3.78223e-06,2,0.32048429444,0.00892857142857,1.17177e-05,1.0026e-05,8.34068e-06,0
1.25713e-05,9.04745e-06,3.66459e-06,2,0.300663636105,0.00892857142857,1.16839e-05,8.81327e-06,8.116e-06,0
5.03329e-05,5.48658e-05,1.95123e-05,10,1.61648818603,0.0446428571429,1.20428e-05,2.12172e-05,1.0428e-05,0
2.43349e-05,1.97465e-05,3.19273e-05,4,0.642305346714,0.0178571428571,1.17454e-05,1.10574e-05,8.80641e-06,1
1.65938e-05,1.82186e-05,5.94112e-06,3,0.506006777055,0.0133928571429,1.18079e-05,1.32697e-05,8.94154e-06,0
1.93328e-05,1.16351e-05,7.8447e-05,3,0.465398749635,0.0133928571429,1.17e-05,9.40893e-06,2.92259e-05,0
1.87036e-05,1.52696e-05,2.40995e-05,3,0.496174793623,0.0133928571429,1.1728e-05,1.04259e-05,8.57903e-06,1
0.000283211,0.00032437,0.000124038,58,9.51520833476,0.258928571429,1.40328e-05,9.29627e-05,2.38066e-05,0
1.16179e-05,1.25817e-05,4.03769e-06,2,0.343133294199,0.00892857142857,1.17627e-05,1.16449e-05,8.64071e-06,0
