@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

6.31352e-06,4.00312e-06,4.25662e-06,1,0.169027357318,0.00280112044818,1.02572e-05,7.40917e-06,7.01443e-06,0
7.19151e-06,3.40343e-06,3.22324e-06,1,0.159464494452,0.00280112044818,1.02486e-05,7.18112e-06,6.92551e-06,0
7.42686e-06,3.51785e-06,4.96731e-06,1,0.170214772874,0.00280112044818,1.02551e-05,7.35526e-06,7.0183e-06,0
6.76272e-06,8.85177e-06,2.26156e-06,1,0.202361869694,0.00280112044818,1.03314e-05,9.35018e-06,7.3418e-06,0
7.31306e-06,5.20378e-06,2.90064e-06,1,0.175631725487,0.00280112044818,1.02733e-05,7.82622e-06,7.05466e-06,0
7.08532e-06,7.54231e-06,3.17764e-06,1,0.193193793005,0.00280112044818,1.03087e-05,8.75267e-06,7.2347e-06,0
7.69784e-06,3.76727e-06,3.72508e-06,1,0.175424944941,0.00280112044818,1.02597e-05,7.47643e-06,6.98262e-06,1
8.02308e-06,5.12868e-06,1.84405e-06,1,0.171129014967,0.00280112044818,1.02613e-05,7.51373e-06,6.98913e-06,0
6.28952e-06,4.0241e-06,5.19332e-06,1,0.168495000423,0.00280112044818,1.02575e-05,7.41479e-06,7.07683e-06,0
1.13778e-05,9.49315e-06,8.33298e-06,2,0.338488388198,0.00560224089636,1.03038e-05,8.62241e-06,7.24927e-06,0
6.6134e-06,5.91934e-06,3.36301e-06,1,0.188210282821,0.00280112044818,1.03019e-05,8.56973e-06,7.20163e-06,0
6.31216e-06,4.02437e-06,5.79433e-06,1,0.170708673798,0.00280112044818,1.02589e-05,7.45223e-06,7.02704e-06,1
7.6702e-06,2.3786e-06,2.7333e-06,1,0.144515272908,0.00280112044818,1.02395e-05,6.94002e-06,6.87896e-06,0
7.21825e-06,3.54283e-06,2.85186e-06,1,0.167043851536,0.00280112044818,1.02533e-05,7.30521e-06,6.94958e-06,0
5.93829e-06,4.65242e-06,7.85923e-06,1,0.178740230219,0.00280112044818,1.0271e-05,7.77169e-06,7.30658e-06,0
6.21204e-06,4.55498e-06,7.92578e-06,1,0.17746891551,0.00280112044818,1.02684e-05,7.70196e-06,7.27321e-06,0
6.61016e-06,4.68361e-06,3.57107e-06,1,0.165232198682,0.00280112044818,1.02619e-05,7.52207e-06,7.03473e-06,0
3.43217e-05,3.60824e-05,1.15867e-05,6,1.05966300094,0.0168067226891,1.05051e-05,1.39209e-05,8.22038e-06,0
8.19617e-06,1.31634e-06,2.31272e-06,1,0.148072731556,0.00280112044818,1.02403e-05,6.96269e-06,6.88325e-06,0
6.47051e-06,3.86814e-06,3.93722e-06,1,0.166696211849,0.00280112044818,1.02553e-05,7.35813e-06,6.96579e-06,0
6.28952e-06,4.0241e-06,5.19332e-06,1,0.168495000423,0.00280112044818,1.02575e-05,7.41479e-06,7.07683e-06,0
3.93838e-05,3.68953e-05,9.80875e-05,9,1.4586985888,0.0252100840336,1.04643e-05,1.28512e-05,3.25963e-05,1
7.11937e-06,4.30999e-06,4.67615e-06,1,0.178386605195,0.00280112044818,1.02649e-05,7.61413e-06,7.06638e-06,0
6.75572e-06,4.72217e-06,3.68132e-06,1,0.18246047842,0.00280112044818,1.0271e-05,7.7747e-06,7.04385e-06,0
5.81545e-06,4.32211e-06,7.38672e-06,1,0.170052612971,0.00280112044818,1.02602e-05,7.48668e-06,7.18206e-06,0
1.85083e-05,1.67009e-05,6.04862e-05,4,0.654103932986,0.0112044817927,1.03438e-05,9.68313e-06,3.11822e-05,1
8.19617e-06,1.31634e-06,2.31272e-06,1,0.148072731556,0.00280112044818,1.02403e-05,6.96269e-06,6.88325e-06,0
6.87185e-06,3.5006e-06,4.4206e-06,1,0.149292323317,0.00280112044818,1.02453e-05,7.09019e-06,7.00754e-06,0
1.9136e-05,1.72481e-05,1.8215e-05,4,0.683694148148,0.0112044817927,1.03757e-05,1.05309e-05,7.79098e-06,1
7.00248e-06,5.12728e-06,3.13432e-06,1,0.176478061932,0.00280112044818,1.03022e-05,7.877e-06,7.08697e-06,0
6.64315e-06,9.72937e-07,1.66048e-06,1,0.143573361739,0.00280112044818,1.02384e-05,6.91064e-06,6.87322e-06,0
7.69784e-06,3.76727e-06,3.72508e-06,1,0.175424944941,0.00280112044818,1.02597e-05,7.47643e-06,6.98262e-06,0
6.11065e-06,3.4042e-06,3.02509e-05,1,0.143612338889,0.00280112044818,1.02411e-05,6.9811e-06,2.20276e-05,0
6.23959e-06,3.83687e-06,7.04753e-06,1,0.158163650679,0.00280112044818,1.02501e-05,7.21903e-06,7.1059e-06,0
6.35044e-06,8.50058e-07,1.6488e-06,1,0.134946445396,0.00280112044818,1.02354e-05,6.83129e-06,6.85794e-06,0
1.01203e-05,9.62647e-06,1.11261e-05,2,0.356104227613,0.00560224089636,1.03445e-05,9.68947e-06,7.71167e-06,0
7.57469e-06,2.7792e-06,3.07829e-06,1,0.151992980322,0.00280112044818,1.02434e-05,7.04323e-06,6.91967e-06,0
8.43576e-06,3.59385e-06,2.10145e-06,1,0.166834573784,0.00280112044818,1.02538e-05,7.31752e-06,6.95151e-06,0
8.43576e-06,3.59385e-06,2.10145e-06,1,0.166834573784,0.00280112044818,1.02538e-05,7.31752e-06,6.95151e-06,0
6.18091e-06,3.96309e-06,5.98294e-06,1,0.158664200366,0.00280112044818,1.02533e-05,7.29878e-06,7.10651e-06,0
7.8374e-06,4.14429e-06,1.76994e-06,1,0.154030045934,0.00280112044818,1.02454e-05,7.0957e-06,6.90876e-06,0
6.34309e-06,5.04471e-06,5.4792e-06,1,0.181776597594,0.00280112044818,1.02748e-05,7.86981e-06,7.07609e-06,0
7.83225e-06,3.82894e-06,1.66669e-06,1,0.15036963001,0.00280112044818,1.02444e-05,7.06801e-06,6.90339e-06,0
