@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute class {1,0}

@data
6.856e-06, 2.43107e-06, 5.02081e-06, 0
8.38779e-06, 6.21262e-06, 3.71926e-06, 0
7.65294e-06, 4.05558e-06, 7.62116e-06, 0
7.48288e-06, 4.65381e-06, 2.69473e-06, 0
1.59668e-05, 1.3483e-05, 1.8936e-05, 1
7.56002e-06, 1.58897e-05, 3.63235e-06, 1
6.97453e-06, 3.58989e-06, 4.47716e-06, 1
6.7729e-06, 9.19289e-06, 1.87096e-06, 0
6.97453e-06, 3.58989e-06, 4.47716e-06, 0
6.84326e-06, 3.34867e-05, 0.000101645, 0
6.94776e-06, 4.97914e-06, 3.90694e-06, 1
6.96578e-06, 4.6989e-06, 3.27456e-06, 0
4.70006e-05, 1.97116e-05, 3.5701e-05, 1
3.9636e-05, 4.04971e-05, 9.89051e-05, 1
6.72914e-06, 5.15947e-06, 4.79796e-06, 0
1.7076e-05, 1.64216e-05, 1.17106e-05, 1
6.38007e-06, 4.52069e-06, 3.54035e-06, 0
7.97956e-06, 2.52536e-06, 2.33606e-06, 0
1.21654e-05, 2.65465e-06, 5.21118e-07, 0
6.79273e-06, 8.50237e-06, 3.59124e-06, 0
7.41622e-06, 5.23425e-06, 1.85698e-06, 0
6.70942e-06, 3.32173e-06, 7.87033e-06, 0
7.50664e-06, 6.79555e-06, 4.07522e-06, 0
7.21582e-06, 3.9946e-06, 1.1655e-06, 0
0.0011279, 0.00138972, 2.94709e-06, 0
7.98421e-06, 4.08937e-06, 0.0020693, 0
6.02555e-06, 4.10549e-06, 3.44249e-06, 0
6.44051e-06, 5.67542e-06, 3.6538e-06, 0
7.65652e-06, 1.06731e-05, 2.999e-05, 0
6.97453e-06, 3.58989e-06, 3.42254e-07, 0
8.12928e-06, 4.71955e-06, 3.54035e-06, 0
7.34324e-06, 5.25081e-06, 4.47716e-06, 0
8.05322e-06, 4.2294e-06, 1.0304e-06, 0
8.32604e-06, 2.43107e-06, 2.13939e-06, 1
6.59437e-06, 4.52069e-06, 5.46593e-07, 1
6.6581e-06, 4.7346e-06, 4.04955e-06, 1
7.20167e-06, 6.72242e-06, 1.48838e-06, 0
6.07974e-06, 3.79776e-06, 5.21118e-07, 0
6.16722e-06, 5.01724e-06, 3.90008e-05, 0
6.55451e-06, 3.93404e-06, 1.42536e-06, 0
6.49597e-06, 4.26582e-06, 7.19276e-06, 0
7.38332e-06, 7.09401e-06, 4.76883e-06, 0
6.14906e-06, 4.11944e-06, 6.69535e-06, 0
7.52575e-06, 3.01443e-06, 5.93941e-06, 0
6.89912e-06, 3.89608e-06, 4.5084e-06, 0
6.82523e-06, 5.5766e-06, 6.02366e-06, 0
6.30653e-06, 3.8659e-06, 1.47389e-06, 0
1.88409e-05, 3.67004e-05, 4.01189e-06, 0
7.38332e-06, 7.09401e-06, 7.36811e-06, 0
6.15979e-06, 3.97021e-06, 6.3371e-06, 0
8.20416e-06, 3.58989e-06, 4.5084e-06, 1
6.73046e-06, 4.89884e-06, 7.92611e-06, 0
2.50234e-05, 2.64564e-05, 3.82403e-06, 0
7.38332e-06, 7.09401e-06, 8.20618e-06, 0
6.44051e-06, 4.14948e-06, 1.48838e-06, 1
7.35235e-06, 5.71316e-06, 2.999e-05, 0
6.97453e-06, 3.70507e-06, 4.47716e-06, 0
9.45377e-06, 8.11116e-06, 2.97524e-07, 0
6.87559e-06, 4.10843e-06, 1.75627e-06, 0
6.96531e-06, 5.02351e-06, 3.26788e-06, 0
6.48642e-06, 4.7985e-06, 4.20656e-06, 0
8.97941e-06, 4.93632e-06, 1.1269e-06, 0
6.74348e-06, 3.57782e-06, 4.1614e-06, 0
7.49177e-06, 3.5737e-06, 2.62829e-06, 0
6.93902e-06, 6.17345e-06, 4.1614e-06, 0
9.03305e-06, 3.9946e-06, 1.11293e-06, 0
6.14906e-06, 4.11944e-06, 5.93941e-06, 1
5.9468e-06, 4.11834e-06, 7.91359e-06, 0
6.99663e-06, 9.52109e-06, 2.13939e-06, 0
6.13198e-06, 5.21254e-06, 7.13096e-06, 0
6.89973e-06, 8.66914e-06, 5.47452e-05, 0
0.000136062, 0.000155093, 0.000394073, 1
7.97956e-06, 4.05558e-06, 3.71926e-06, 0
9.04693e-06, 4.10503e-06, 8.90732e-07, 0
6.87707e-06, 2.52536e-06, 1.9426e-06, 0
7.27847e-06, 4.02694e-06, 7.72933e-07, 0
7.65294e-06, 3.57782e-06, 4.1614e-06, 0
5.96641e-06, 4.68889e-06, 8.356e-06, 0
8.05322e-06, 4.2294e-06, 9.97651e-07, 0
7.29244e-06, 9.75395e-06, 1.96473e-06, 0
7.02711e-06, 5.25055e-06, 6.74156e-06, 0
6.54648e-06, 3.98505e-06, 3.76784e-06, 1
7.79972e-06, 6.14164e-06, 1.53403e-06, 0
7.12679e-06, 3.54391e-06, 5.25841e-06, 1
1.46839e-05, 9.24492e-06, 5.5441e-06, 0
7.52868e-06, 1.37228e-06, 2.51815e-07, 0
6.66345e-06, 6.43137e-06, 4.5084e-06, 0
6.53712e-06, 6.8464e-06, 3.21043e-05, 0
7.2322e-06, 1.2481e-06, 2.51526e-07, 0
6.1085e-06, 3.7878e-06, 8.83628e-06, 0
1.05165e-05, 3.87843e-06, 3.68627e-05, 0
1.24486e-05, 1.62043e-05, 1.09168e-05, 0
8.12928e-06, 7.80167e-06, 1.0304e-06, 0
7.21582e-06, 4.62514e-06, 2.94709e-06, 0
7.51917e-06, 3.9946e-06, 4.04042e-06, 0
6.39831e-06, 3.93404e-06, 3.02101e-06, 0
7.21582e-06, 5.10565e-06, 2.94709e-06, 0
7.80206e-06, 9.68884e-06, 2.8268e-06, 0
5.63749e-06, 2.88082e-06, 9.03008e-06, 0
6.02628e-06, 4.758e-06, 7.68647e-06, 0
6.15979e-06, 3.24945e-06, 3.56917e-06, 0
6.46345e-06, 3.97021e-06, 7.92611e-06, 0
9.45377e-06, 1.91019e-06, 2.97524e-07, 0
7.34554e-06, 5.65708e-06, 3.10584e-06, 0
1.21654e-05, 2.98167e-05, 7.36313e-06, 0
7.97956e-06, 2.52536e-06, 6.78947e-05, 0
7.25119e-06, 3.52504e-06, 7.37946e-06, 0
1.21654e-05, 3.89608e-06, 2.51526e-07, 0
6.26722e-06, 3.93134e-06, 6.02366e-06, 0
7.2322e-06, 2.65465e-06, 1.4916e-06, 0
7.61655e-06, 6.95333e-06, 6.82648e-06, 0
5.93548e-06, 3.99377e-06, 4.16732e-05, 0
1.08677e-05, 7.37911e-06, 6.56751e-05, 1
0.00175751, 0.00159404, 0.00229857, 0
