@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jaccards numeric
@attribute class {1,0}

@data
1.15142e-05, 9.18278e-06, 8.10872e-06, 2, 0.297627059116, 0.00560224089636, 1
6.89912e-06, 4.18713e-06, 5.47224e-06, 1, 0.129899347875, 0.00280112044818, 0
7.42887e-06, 6.43137e-06, 1.64863e-05, 1, 0.118901156916, 0.00280112044818, 0
7.97956e-06, 2.52536e-06, 2.33606e-06, 1, 0.145045194492, 0.00280112044818, 0
1.62557e-05, 1.38441e-05, 1.36356e-06, 3, 0.433748733258, 0.0379213483146, 0
9.72704e-06, 2.43107e-06, 3.27293e-06, 1, 0.132109446402, 0.00280112044818, 0
2.0946e-05, 1.8895e-05, 5.46593e-07, 4, 0.578886958482, 0.00280112044818, 1
6.74148e-06, 3.51955e-06, 5.99553e-05, 1, 0.130714186195, 0.00280112044818, 0
7.07914e-06, 8.29643e-06, 1.72218e-06, 1, 0.168919463175, 0.00280112044818, 0
6.53559e-06, 3.62708e-06, 6.53637e-06, 1, 0.133204077205, 0.00280112044818, 0
9.40735e-06, 2.05688e-06, 2.96428e-06, 1, 0.129389061121, 0.00280112044818, 0
6.89912e-06, 4.58906e-06, 4.43117e-06, 1, 0.140838743549, 0.00280112044818, 0
2.0839e-05, 8.60843e-06, 1.80255e-06, 4, 0.166005948581, 0.00280112044818, 1
6.8309e-06, 7.54574e-06, 7.92581e-06, 27, 0.186238888518, 0.00280112044818, 0
7.02711e-06, 5.25055e-06, 6.74156e-06, 1, 0.155117223232, 0.00280112044818, 0
1.17504e-05, 9.05998e-06, 1.05072e-05, 2, 0.159026325555, 0.00280112044818, 0
6.84965e-06, 4.79374e-06, 3.73957e-06, 1, 0.295211098315, 0.00280112044818, 0
6.67518e-06, 1.15757e-05, 2.32286e-06, 1, 0.143082775873, 0.00560224089636, 0
1.10276e-05, 9.79988e-06, 7.86218e-06, 2, 0.300438442057, 0.00280112044818, 0
6.07974e-06, 3.79776e-06, 3.90008e-05, 1, 0.132084989951, 0.00280112044818, 0
6.49597e-06, 4.26582e-06, 4.76883e-06, 1, 0.140661861661, 0.00560224089636, 0
6.57261e-06, 7.41931e-06, 5.01689e-06, 1, 0.154505281132, 0.00280112044818, 0
7.49177e-06, 3.5737e-06, 2.62829e-06, 1, 0.14070589272, 0.00280112044818, 0
7.29553e-06, 7.64507e-06, 1.58241e-06, 1, 0.159026325555, 0.00280112044818, 0
7.1204e-06, 1.2481e-06, 1.55964e-06, 1, 0.118901156916, 0.00280112044818, 0
6.27548e-06, 3.67521e-06, 7.62116e-06, 1, 0.133689043123, 0.00280112044818, 0
1.77927e-05, 4.02694e-06, 7.72933e-07, 3, 0.373136222793, 0.00280112044818, 0
8.19385e-06, 3.52467e-06, 2.11429e-06, 1, 0.143082775873, 0.00280112044818, 0
1.66948e-05, 1.58118e-05, 1.03172e-05, 3, 0.458671147813, 0.00840336134454, 1
7.34324e-06, 2.52536e-06, 4.47716e-06, 1, 4.1023000885, 0.00280112044818, 0
6.7396e-06, 5.25081e-06, 2.9158e-06, 1, 0.129899347875, 0.00280112044818, 0
7.09352e-06, 0.00129861, 0.000788919, 30, 0.145695474366, 0.00280112044818, 0
7.91187e-06, 8.3224e-06, 1.71171e-06, 1, 0.15815252598, 0.0597609561753, 0
7.52575e-06, 3.01443e-06, 4.5084e-06, 1, 0.165646488528, 0.00280112044818, 0
7.27847e-06, 4.20006e-06, 6.912e-06, 1, 0.312441279604, 0.00280112044818, 0
6.74148e-06, 3.51955e-06, 5.99553e-05, 1, 0.133799120248, 0.00280112044818, 0
7.79972e-06, 6.14164e-06, 1.53403e-06, 1, 0.135282902211, 0.00280112044818, 1
6.0237e-06, 6.64672e-06, 1.79543e-06, 1, 0.173804523225, 0.00280112044818, 0
7.53191e-06, 9.94721e-06, 6.82648e-06, 1, 0.156742333706, 0.00280112044818, 0
6.2866e-06, 4.09022e-06, 2.77784e-06, 2, 0.133471434714, 0.00280112044818, 0
6.41459e-06, 2.65465e-06, 7.32705e-06, 1, 0.138079145498, 0.00560224089636, 0
1.21654e-05, 8.77555e-06, 5.21118e-07, 2, 0.143185727906, 0.00280112044818, 0
6.75914e-06, 4.5853e-06, 3.87831e-06, 1, 0.136167794257, 0.00560224089636, 1
7.56002e-06, 3.23432e-06, 2.87442e-06, 1, 0.160211555769, 0.00280112044818, 0
9.11515e-06, 3.57782e-06, 1.16023e-06, 1, 0.145695474366, 0.00280112044818, 0
6.36953e-06, 4.93632e-06, 7.13096e-06, 1, 0.155966189012, 0.00280112044818, 0
7.2722e-06, 8.96253e-06, 1.81653e-06, 1, 0.140530517097, 0.00280112044818, 0
7.27854e-06, 1.79308e-05, 1.69306e-05, 4, 0.151636658898, 0.00280112044818, 0
9.72704e-06, 2.43107e-06, 5.46593e-07, 1, 0.156742333706, 0.00280112044818, 0
0.000632828, 0.000946681, 0.000952913, 1, 0.132109446402, 0.00280112044818, 1
6.60603e-06, 8.66778e-06, 5.95665e-06, 1, 2.6349505267, 0.00280112044818, 1
6.4014e-06, 4.39065e-06, 4.01567e-06, 1, 0.129389061121, 0.0371991247265, 0
2.1207e-05, 4.70581e-06, 8.23571e-06, 1, 0.144588025472, 0.00280112044818, 1
6.44051e-06, 3.32173e-06, 2.999e-05, 1, 0.427834630066, 0.00280112044818, 0
6.29943e-06, 4.05558e-06, 2.51526e-07, 1, 0.118901156916, 0.00280112044818, 0
7.10185e-06, 3.9005e-06, 7.40497e-06, 1, 0.144088663462, 0.00280112044818, 0
7.52868e-06, 5.25509e-06, 2.94094e-06, 1, 0.136564163955, 0.00280112044818, 0
7.438e-06, 1.37228e-06, 2.51815e-07, 1, 0.149927714085, 0.00280112044818, 0
6.59437e-06, 4.71955e-06, 4.04955e-06, 1, 0.153816379478, 0.00280112044818, 0
6.77265e-05, 7.247e-05, 0.000180772, 16, 0.143764143249, 0.00280112044818, 0
6.23839e-06, 4.01251e-06, 6.15312e-06, 1, 0.132109446402, 0.0448179271709, 0
6.856e-06, 4.05225e-06, 5.02081e-06, 1, 0.136937173269, 0.00280112044818, 0
7.10185e-06, 5.25509e-06, 2.94094e-06, 1, 0.144419852365, 0.00280112044818, 0
6.31811e-06, 5.02351e-06, 7.2265e-06, 1, 0.157670655672, 0.00280112044818, 0
6.20019e-06, 3.4886e-06, 3.64026e-06, 1, 0.147543714595, 0.00280112044818, 0
6.6581e-06, 4.7346e-06, 7.68647e-06, 1, 0.125577815144, 0.00280112044818, 0
6.84965e-06, 4.79374e-06, 3.73957e-06, 1, 0.143082775873, 0.00280112044818, 0
6.66201e-06, 0.00111798, 1.28572e-06, 1, 0.118901156916, 0.00280112044818, 0
6.97453e-06, 3.58989e-06, 4.47716e-06, 1, 0.154305773216, 0.00280112044818, 0
6.49597e-06, 4.26582e-06, 4.76883e-06, 1, 0.138918240837, 0.00280112044818, 0
7.65294e-06, 3.74706e-06, 3.71926e-06, 1, 0.171576213133, 0.00280112044818, 0
