@relation data

@attribute common numeric
@attribute adamic numeric
@attribute jaccards numeric
@attribute class {1,0}

@data
2, 0.297627059116, 0.00560224089636, 1
1, 0.129899347875, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 0
1, 0.145045194492, 0.00280112044818, 0
3, 0.433748733258, 0.0379213483146, 0
1, 0.132109446402, 0.00280112044818, 0
4, 0.578886958482, 0.00280112044818, 1
1, 0.130714186195, 0.00280112044818, 0
1, 0.168919463175, 0.00280112044818, 0
1, 0.133204077205, 0.00280112044818, 0
1, 0.129389061121, 0.00280112044818, 0
1, 0.140838743549, 0.00280112044818, 0
4, 0.166005948581, 0.00280112044818, 1
27, 0.186238888518, 0.00280112044818, 0
1, 0.155117223232, 0.00280112044818, 0
2, 0.159026325555, 0.00280112044818, 0
1, 0.295211098315, 0.00280112044818, 0
1, 0.143082775873, 0.00560224089636, 0
2, 0.300438442057, 0.00280112044818, 0
1, 0.132084989951, 0.00280112044818, 0
1, 0.140661861661, 0.00560224089636, 0
1, 0.154505281132, 0.00280112044818, 0
1, 0.14070589272, 0.00280112044818, 0
1, 0.159026325555, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 0
1, 0.133689043123, 0.00280112044818, 0
3, 0.373136222793, 0.00280112044818, 0
1, 0.143082775873, 0.00280112044818, 0
3, 0.458671147813, 0.00840336134454, 1
1, 4.1023000885, 0.00280112044818, 0
1, 0.129899347875, 0.00280112044818, 0
30, 0.145695474366, 0.00280112044818, 0
1, 0.15815252598, 0.0597609561753, 0
1, 0.165646488528, 0.00280112044818, 0
1, 0.312441279604, 0.00280112044818, 0
1, 0.133799120248, 0.00280112044818, 0
1, 0.135282902211, 0.00280112044818, 1
1, 0.173804523225, 0.00280112044818, 0
1, 0.156742333706, 0.00280112044818, 0
2, 0.133471434714, 0.00280112044818, 0
1, 0.138079145498, 0.00560224089636, 0
2, 0.143185727906, 0.00280112044818, 0
1, 0.136167794257, 0.00560224089636, 1
1, 0.160211555769, 0.00280112044818, 0
1, 0.145695474366, 0.00280112044818, 0
1, 0.155966189012, 0.00280112044818, 0
1, 0.140530517097, 0.00280112044818, 0
4, 0.151636658898, 0.00280112044818, 0
1, 0.156742333706, 0.00280112044818, 0
1, 0.132109446402, 0.00280112044818, 1
1, 2.6349505267, 0.00280112044818, 1
1, 0.129389061121, 0.0371991247265, 0
1, 0.144588025472, 0.00280112044818, 1
1, 0.427834630066, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 0
1, 0.144088663462, 0.00280112044818, 0
1, 0.136564163955, 0.00280112044818, 0
1, 0.149927714085, 0.00280112044818, 0
1, 0.153816379478, 0.00280112044818, 0
16, 0.143764143249, 0.00280112044818, 0
1, 0.132109446402, 0.0448179271709, 0
1, 0.136937173269, 0.00280112044818, 0
1, 0.144419852365, 0.00280112044818, 0
1, 0.157670655672, 0.00280112044818, 0
1, 0.147543714595, 0.00280112044818, 0
1, 0.125577815144, 0.00280112044818, 0
1, 0.143082775873, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 0
1, 0.154305773216, 0.00280112044818, 0
1, 0.138918240837, 0.00280112044818, 0
1, 0.171576213133, 0.00280112044818, 0
1, 0.145045194492, 0.00280112044818, 0
1, 0.167902793404, 0.00280112044818, 0
1, 0.171576213133, 0.00280112044818, 0
1, 0.137075193667, 0.00280112044818, 0
2, 0.311867702014, 0.00280112044818, 0
1, 0.162211633012, 0.00560224089636, 1
1, 0.143289349287, 0.00280112044818, 0
2, 0.279270535936, 0.00280112044818, 0
1, 0.139235335281, 0.00280112044818, 0
1, 0.178406715018, 0.00280112044818, 0
1, 0.126267666609, 0.00280112044818, 1
1, 0.148022225891, 0.00280112044818, 0
14, 2.0243707915, 0.00280112044818, 0
1, 0.142980485436, 0.00280112044818, 0
1, 0.143979761105, 0.00280112044818, 0
1, 0.151382071392, 0.00280112044818, 1
2, 0.286674749721, 0.00280112044818, 0
1, 0.137249555521, 0.00280112044818, 0
1, 0.136364635021, 0.00560224089636, 0
1, 0.129389061121, 0.00280112044818, 0
1, 0.145045194492, 0.00280112044818, 0
1, 0.158274930038, 0.00280112044818, 0
1, 0.160211555769, 0.00560224089636, 0
1, 0.162977974303, 0.00280112044818, 0
1, 0.132109446402, 0.00280112044818, 0
1, 0.125548011647, 0.00280112044818, 0
1, 0.153246067258, 0.00280112044818, 0
2, 0.300909754338, 0.00280112044818, 0
1, 0.189019500315, 0.00280112044818, 0
1, 0.14954444225, 0.00280112044818, 0
1, 0.14954444225, 0.00280112044818, 0
0, 0.140100622008, 0.00280112044818, 0
1, 0.132084989951, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 0
1, 0.133689043123, 0.00280112044818, 0
1, 0, 0.0, 0
2, 0.149927714085, 0.00280112044818, 0
1, 0.132109446402, 0.00280112044818, 0
1, 0.139235335281, 0.00280112044818, 0
1, 0.132109446402, 0.00280112044818, 0
1, 0.146309830436, 0.00280112044818, 0
1, 0.155536824074, 0.00280112044818, 0
1, 0.150478969346, 0.00280112044818, 1
1, 0.451613048862, 0.00840336134454, 1
1, 0.143979761105, 0.00280112044818, 1
1, 0.14070589272, 0.00280112044818, 0
1, 0.159026325555, 0.00280112044818, 0
5, 0.14075004962, 0.00280112044818, 0
1, 0.118901156916, 0.00280112044818, 1
1, 0.142528164241, 0.00280112044818, 0
1, 0.145456010998, 0.00280112044818, 1
1, 1.23384020453, 0.0252100840336, 1
1, 0.143551383204, 0.00280112044818, 0
2, 0.149927714085, 0.00280112044818, 1
1, 0.171812993706, 0.00280112044818, 0
1, 0.283903616464, 0.00560224089636, 0
1, 0.186238888518, 0.00280112044818, 0
1, 0.247588211146, 0.00560224089636, 0
1, 0.150559167619, 0.00280112044818, 0
1, 4.24994365948, 0.0518518518519, 0
1, 0.162211633012, 0.00280112044818, 0
1, 0.161043921411, 0.00280112044818, 0
1, 0.166005948581, 0.00280112044818, 0
1, 0.158030905366, 0.00280112044818, 0
1, 0.146123110929, 0.00280112044818, 0
28, 0.145045194492, 0.00280112044818, 0
1, 0.148301872645, 0.00280112044818, 0
1, 0.126732928317, 0.00280112044818, 0
1, 0.171576213133, 0.00280112044818, 0
1, 0.175990303643, 0.00280112044818, 0
1, 0.129899347875, 0.00280112044818, 0
1, 0.130714186195, 0.00280112044818, 1
