@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

6.18371e-06,5.62996e-06,7.74271e-06,2,0.3284678896,0.00448430493274,6.23396e-06,5.38777e-06,2.8333e-06,1
7.20666e-06,4.99384e-06,4.71782e-06,2,0.321308119491,0.00448430493274,6.22242e-06,4.96966e-06,2.60238e-06,0
1.18414e-05,1.06677e-05,6.47507e-06,3,0.527782139427,0.0067264573991,6.25883e-06,6.28766e-06,2.73825e-06,1
7.53012e-06,4.92604e-06,3.9606e-06,2,0.318638210666,0.00448430493274,6.22005e-06,4.88668e-06,2.61096e-06,1
1.08588e-05,6.94051e-06,3.44925e-06,2,0.336233135869,0.00448430493274,6.22517e-06,5.07545e-06,2.59055e-06,0
1.62798e-05,2.22471e-05,6.49208e-06,5,0.953108067948,0.0112107623318,6.39896e-06,1.12752e-05,3.41259e-06,0
8.40932e-06,4.44565e-06,3.12938e-06,2,0.304457932828,0.00448430493274,6.21427e-06,4.68016e-06,2.5623e-06,0
1.53911e-05,1.2713e-05,1.21677e-05,5,0.787027718405,0.0112107623318,6.25534e-06,6.13947e-06,2.89118e-06,1
3.07149e-05,2.95348e-05,5.32928e-05,11,1.79684358278,0.02466367713,6.34839e-06,9.48103e-06,1.48015e-05,1
6.95747e-06,6.08445e-06,5.65088e-06,2,0.323044854972,0.00448430493274,6.22728e-06,5.14951e-06,2.62111e-06,0
6.28262e-06,5.54421e-06,5.28916e-06,2,0.306484656641,0.00448430493274,6.22017e-06,4.88794e-06,2.59069e-06,1
3.72752e-05,3.77725e-05,4.17101e-05,14,2.30866990821,0.0313901345291,6.40792e-06,1.16091e-05,3.97051e-06,0
7.14227e-06,6.29175e-06,5.58308e-06,2,0.34434737475,0.00448430493274,6.23343e-06,5.37083e-06,2.68214e-06,0
7.46903e-06,4.96942e-06,4.64686e-06,2,0.316012060948,0.00448430493274,6.21865e-06,4.83725e-06,2.58722e-06,0
8.94713e-06,9.1759e-06,7.34212e-06,3,0.485494578421,0.0067264573991,6.2504e-06,5.94585e-06,2.80678e-06,0
3.09076e-05,3.0018e-05,2.66136e-05,11,1.76904485436,0.02466367713,6.34565e-06,9.35544e-06,3.47905e-06,1
