@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

2.03699e-05,1.62393e-05,5.8184e-05,3,0.450201538396,0.0165745856354,1.20008e-05,9.71161e-06,2.09895e-05,0
2.06196e-05,2.30239e-05,6.44523e-06,3,0.523964562381,0.0165745856354,1.20932e-05,1.34264e-05,9.49622e-06,0
2.16824e-05,1.94839e-05,1.1135e-05,3,0.486476670281,0.0165745856354,1.2038e-05,1.12111e-05,9.09145e-06,0
0.00837132,0.00548076,0.0101256,23,3.90973337945,0.0198446937015,1.30131e-05,0.000542661,0.00018651,0
4.61606e-05,4.81011e-05,1.39743e-05,7,1.15956483382,0.0386740331492,1.2206e-05,1.79888e-05,1.03324e-05,0
2.76758e-05,3.60939e-05,3.5651e-05,4,0.696068905281,0.0220994475138,1.21519e-05,1.582e-05,1.01172e-05,1
2.2823e-05,2.00295e-05,6.06043e-06,3,0.492721695195,0.0165745856354,1.20541e-05,1.18567e-05,9.20836e-06,0
3.45195e-05,3.00544e-05,9.21715e-06,5,0.774988519351,0.0276243093923,1.20656e-05,1.2334e-05,9.29553e-06,0
7.61195e-05,9.35592e-05,0.000173669,12,2.07299292578,0.0662983425414,1.25054e-05,3.00794e-05,3.73654e-05,1
4.11036e-05,3.90478e-05,1.19632e-05,6,0.994064468069,0.0331491712707,1.21592e-05,1.60786e-05,9.98272e-06,0
2.69984e-05,1.49113e-05,8.18311e-06,3,0.47307460819,0.0165745856354,1.2012e-05,1.01572e-05,8.89694e-06,0
2.57846e-05,2.1608e-05,8.17574e-06,3,0.517965908475,0.0165745856354,1.20635e-05,1.22256e-05,9.2762e-06,0
2.82328e-05,2.67008e-05,8.02565e-06,4,0.659391068876,0.0220994475138,1.20802e-05,1.29055e-05,9.40068e-06,0
3.88315e-05,3.91386e-05,9.063e-05,6,0.959006518172,0.0331491712707,1.21226e-05,1.46279e-05,2.21441e-05,1
2.24871e-05,1.89603e-05,6.0409e-06,3,0.481505035722,0.0165745856354,1.2039e-05,1.12514e-05,9.0973e-06,0
2.22483e-05,2.02517e-05,6.31895e-06,3,0.494933287188,0.0165745856354,1.20523e-05,1.17835e-05,9.19493e-06,0
2.50542e-05,2.26964e-05,2.00844e-05,3,0.513684293646,0.0165745856354,1.20627e-05,1.2197e-05,9.37277e-06,0
3.28461e-05,2.80073e-05,8.11672e-05,5,0.763706209471,0.0276243093923,1.2046e-05,1.15355e-05,2.1444e-05,1
2.79914e-05,2.91736e-05,8.38722e-06,4,0.690305633056,0.0220994475138,1.21128e-05,1.42213e-05,9.6419e-06,0
2.45509e-05,1.87084e-05,1.91824e-05,3,0.480823680173,0.0165745856354,1.20268e-05,1.07537e-05,9.108e-06,0
3.52682e-05,3.25564e-05,1.0315e-05,5,0.815928018932,0.0276243093923,1.21091e-05,1.40778e-05,9.61551e-06,0
2.6603e-05,2.09821e-05,7.97126e-06,3,0.508042219416,0.0165745856354,1.20561e-05,1.19279e-05,9.22158e-06,0
2.8486e-05,2.29011e-05,7.30037e-06,4,0.609608020656,0.0220994475138,1.20385e-05,1.12388e-05,9.09482e-06,0
5.20704e-05,5.79864e-05,1.6097e-05,8,1.35510104537,0.0441988950276,1.23171e-05,2.24697e-05,1.1154e-05,0
2.16113e-05,2.1217e-05,6.02109e-06,3,0.511713840235,0.0165745856354,1.20634e-05,1.2233e-05,9.2773e-06,0
