@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

0.00178582,0.00114491,0.000462213,37,5.90666752159,0.031197301855,4.12273e-06,0.000181706,2.23294e-05,0
2.90468e-05,2.81858e-05,0.000108507,14,2.14570196421,0.0261682242991,3.93635e-06,6.42852e-06,3.88086e-05,0
6.76522e-06,5.11318e-06,2.58947e-06,3,0.448247639402,0.00560747663551,3.85459e-06,3.21403e-06,1.83325e-06,0
1.54563e-05,1.23322e-05,6.19679e-06,7,1.06502693927,0.0130841121495,3.89083e-06,4.79838e-06,2.03331e-06,0
1.74188e-05,1.25669e-05,6.98954e-06,8,1.14471397419,0.014953271028,3.86956e-06,3.80456e-06,1.90859e-06,0
1.3541e-05,1.25959e-05,2.97395e-05,6,0.897945776362,0.011214953271,3.86961e-06,3.96407e-06,1.49094e-05,0
5.77853e-06,7.42767e-06,4.39126e-06,3,0.51177156706,0.00560747663551,3.87415e-06,4.13245e-06,1.94987e-06,0
0.00192938,0.0015394,0.000670241,58,9.48932293723,0.0402498265094,4.32228e-06,0.000189173,2.32514e-05,0
7.15141e-05,9.30639e-05,6.95501e-05,39,6.60719577467,0.0728971962617,4.40625e-06,2.53625e-05,4.9592e-06,1
8.16241e-06,7.64053e-06,9.70198e-06,3,0.506124309619,0.00560747663551,3.86407e-06,3.72284e-06,1.99008e-06,1
1.03226e-05,1.13082e-05,3.60995e-05,4,0.692798535929,0.00747663551402,3.89773e-06,4.72539e-06,1.23407e-05,1
1.36494e-05,1.35195e-05,1.43692e-05,6,0.957938462894,0.011214953271,3.89136e-06,4.56171e-06,2.06652e-06,1
3.09616e-05,2.71225e-05,1.31685e-05,15,2.27816141003,0.0280373831776,3.95513e-06,7.37182e-06,2.36115e-06,0
6.3996e-06,5.32331e-06,2.68028e-06,3,0.45851145443,0.00560747663551,3.85406e-06,3.33849e-06,1.84706e-06,0
4.18777e-05,4.778e-05,6.70488e-05,21,3.4428594108,0.0392523364486,4.07061e-06,1.19326e-05,1.33478e-05,1
3.24924e-05,2.97243e-05,1.37004e-05,15,2.3816831279,0.0280373831776,3.97193e-06,8.00054e-06,2.44095e-06,0
8.91257e-06,7.85713e-06,3.5059e-06,4,0.646898071897,0.00747663551402,3.87898e-06,4.32869e-06,1.97327e-06,0
8.38197e-06,5.56536e-06,3.12703e-06,3,0.451366358367,0.00560747663551,3.85265e-06,3.12876e-06,1.82244e-06,0
6.9917e-06,4.61164e-06,2.6169e-06,3,0.427208882938,0.00560747663551,3.8427e-06,2.88238e-06,1.78899e-06,0
9.82869e-06,7.75584e-06,4.07435e-06,4,0.617482544479,0.00747663551402,3.85837e-06,3.50231e-06,1.868e-06,0
8.74623e-06,8.62795e-06,8.22556e-06,4,0.634433014237,0.00747663551402,3.86686e-06,3.84506e-06,1.92832e-06,0
9.03347e-06,8.08287e-06,1.26433e-05,4,0.60067138325,0.00747663551402,3.85673e-06,3.43861e-06,1.99292e-06,1
1.28724e-05,1.14256e-05,5.99723e-06,6,0.93629300505,0.011214953271,3.87939e-06,4.34063e-06,1.978e-06,0
9.58664e-06,6.5834e-06,3.6679e-06,4,0.590503982899,0.00747663551402,3.85106e-06,3.2124e-06,1.83099e-06,0
8.83059e-06,9.06011e-06,7.08377e-06,3,0.534407970816,0.00560747663551,3.89048e-06,4.7591e-06,2.02833e-06,0
0.0008983,0.000849548,0.000333206,50,7.76946528139,0.0585480093677,4.27236e-06,0.000187675,2.30903e-05,0
1.0563e-05,8.7442e-06,4.23245e-06,5,0.755567776484,0.00934579439252,3.8663e-06,3.83169e-06,1.9102e-06,0
8.18271e-06,8.32281e-06,8.08267e-06,4,0.620256672874,0.00747663551402,3.86435e-06,3.75363e-06,1.96876e-06,1
7.07829e-06,4.90983e-06,2.557e-06,3,0.440045685161,0.00560747663551,3.84729e-06,3.07048e-06,1.81307e-06,0
2.18986e-05,2.18649e-05,5.79574e-05,10,1.60436174065,0.018691588785,3.92301e-06,6.06869e-06,1.55441e-05,1
8.2516e-06,1.41401e-05,5.92898e-06,3,0.610299326864,0.00560747663551,3.93023e-06,6.32812e-06,2.22842e-06,1
1.7784e-05,1.39377e-05,7.18743e-06,8,1.21921456958,0.014953271028,3.88935e-06,4.73885e-06,2.02554e-06,0
6.78234e-06,4.7115e-06,2.58066e-06,3,0.43019060738,0.00560747663551,3.84753e-06,2.93032e-06,1.79717e-06,0
2.12877e-05,2.15216e-05,4.45286e-05,10,1.57211689108,0.018691588785,3.9219e-06,6.02649e-06,1.53289e-05,1
6.98885e-06,4.92687e-06,2.81014e-06,3,0.434442441572,0.00560747663551,3.84528e-06,2.98911e-06,1.80261e-06,0
1.15018e-05,1.25204e-05,8.35075e-06,5,0.84866125623,0.00934579439252,3.89517e-06,4.95164e-06,2.0951e-06,1
1.46034e-05,1.37334e-05,5.98687e-06,7,1.11085760008,0.0130841121495,3.90893e-06,5.53415e-06,2.12683e-06,0
1.14204e-05,1.19996e-05,9.36879e-06,5,0.827256799166,0.00934579439252,3.88322e-06,4.48258e-06,2.01216e-06,1
1.00451e-05,9.27918e-06,1.49367e-05,4,0.63547579229,0.00747663551402,3.86595e-06,3.79551e-06,2.0543e-06,1
1.17677e-05,8.51428e-06,4.64258e-06,4,0.63408369797,0.00747663551402,3.86337e-06,3.69529e-06,1.89252e-06,0
7.24265e-06,9.41887e-06,5.31251e-06,3,0.553881824515,0.00560747663551,3.91104e-06,5.59508e-06,2.16791e-06,0
7.73179e-06,5.90733e-06,2.9411e-06,3,0.449686441502,0.00560747663551,3.85161e-06,3.2392e-06,1.83441e-06,0
